cus_name,Recency,Frequency,Monetary,R_score,F_score,M_score
"Customer W",641,1,2,1,1,1
"Customer FA",489,1,2,1,1,1
"Customer N",1554,1,5,1,1,1
"Customer GK",824,5,6,1,1,1
"Customer EZ",275,5,10,2,1,1
"Customer O",763,6,15,1,1,1
"Customer GL",336,8,17,2,1,1
"Customer FB",244,17,26,2,1,1
"Customer AY",1340,6,28,1,1,1
"Customer A",214,15,35,2,1,1
"Customer V",244,17,37,2,1,1
"Customer K",214,10,40,5,1,1
"Customer AQ",855,9,41,1,1,1
"Customer CW",367,25,53,2,1,1
"Customer Q",214,15,61,5,1,1
"Customer FP",336,11,62,2,1,1
"Customer I",1128,13,62,1,1,1
"Customer B",214,21,66,2,1,1
"Customer FC",397,26,73,2,1,1
"Customer AX",1279,13,81,1,1,1
"Customer J",275,19,87,2,1,1
"Customer D",305,26,88,2,1,1
"Customer C",489,1,90,1,1,1
"Customer CG",244,27,108,2,1,1
"Customer BD",855,27,116,1,1,1
"Customer AZ",1036,12,121,1,1,1
"Customer E",214,35,121,4,2,1
"Customer EW",671,34,123,1,2,1
"Customer DI",275,27,126,2,1,1
"Customer FE",214,40,128,4,2,1
"Customer BB",1159,16,156,1,1,1
"Customer CS",610,24,157,1,1,1
"Customer GM",214,47,192,5,2,1
"Customer DU",367,30,220,2,1,1
"Customer DC",275,38,220,2,2,1
"Customer GZ",214,45,227,5,2,1
"Customer U",1036,5,235,1,1,1
"Customer P",244,19,242,2,1,1
"Customer EG",244,39,246,2,2,1
"Customer EK",518,28,252,1,1,1
"Customer EC",914,20,261,1,1,1
"Customer FG",305,38,275,2,2,1
"Customer EM",610,35,276,1,2,1
"Customer CM",518,37,292,1,2,1
"Customer BE",1036,30,298,1,1,2
"Customer AV",794,37,298,1,2,2
"Customer AT",1128,27,301,1,1,2
"Customer DE",275,47,329,2,2,2
"Customer EI",397,39,349,2,2,2
"Customer EA",794,41,371,1,2,2
"Customer FO",214,59,372,4,3,2
"Customer DS",305,47,379,2,2,2
"Customer CO",244,47,381,2,2,2
"Customer ES",305,29,388,2,1,2
"Customer AW",1220,23,394,1,1,2
"Customer AL",855,37,395,1,2,2
"Customer DA",641,35,406,1,2,2
"Customer BA",1036,33,412,1,1,2
"Customer DQ",1067,24,430,1,1,2
"Customer FT",214,55,465,4,3,2
"Customer EE",214,52,493,4,2,2
"Customer AS",883,27,498,1,1,2
"Customer H",214,41,507,5,2,2
"Customer FK",214,58,537,4,3,2
"Customer GP",214,56,541,5,3,2
"Customer CI",214,58,554,3,3,2
"Customer AJ",214,33,589,2,2,2
"Customer AM",1067,32,595,1,1,2
"Customer GY",214,49,608,5,2,2
"Customer EQ",518,49,613,1,2,2
"Customer EU",275,49,627,2,2,2
"Customer AO",945,32,630,1,1,2
"Customer EY",458,42,635,1,2,2
"Customer FJ",214,58,651,4,3,2
"Customer CY",214,51,678,3,2,2
"Customer AN",883,33,679,1,2,2
"Customer CK",214,60,702,3,4,2
"Customer EO",214,59,717,4,3,2
"Customer DO",367,47,730,2,2,2
"Customer GN",244,54,757,2,2,2
"Customer AR",702,36,779,1,2,2
"Customer GV",214,60,836,5,5,2
"Customer GJ",214,60,875,5,5,2
"Customer DK",244,49,965,2,2,2
"Customer FM",214,55,992,4,2,2
"Customer M",214,60,1004,5,5,2
"Customer CU",367,47,1024,2,2,2
"Customer HD",214,60,1031,5,5,2
"Customer DG",641,41,1032,1,2,3
"Customer GD",214,60,1081,5,5,3
"Customer GU",214,59,1109,5,3,3
"Customer FX",214,60,1120,4,5,3
"Customer GE",214,59,1299,5,3,3
"Customer CQ",214,60,1307,3,4,3
"Customer DM",244,53,1334,2,2,3
"Customer FV",214,59,1361,4,3,3
"Customer DY",214,52,1379,4,2,3
"Customer GC",214,59,1451,5,3,3
"Customer BC",763,39,1489,1,2,3
"Customer GF",214,60,1528,5,5,3
"Customer AU",641,45,1606,1,2,3
"Customer S",214,46,1632,5,2,3
"Customer BF",671,45,1792,1,2,3
"Customer AK",580,48,1817,1,2,3
"Customer DW",305,51,1906,2,2,3
"Customer HB",214,60,1953,5,5,3
"Customer FZ",214,60,2088,4,5,3
"Customer GS",214,60,2153,5,5,3
"Customer GI",214,60,2168,5,5,3
"Customer AP",549,40,2520,1,2,3
"Customer L",214,60,2540,5,5,3
"Customer GG",214,60,2591,5,5,3
"Customer FN",214,60,2967,4,5,3
"Customer HF",214,60,3115,5,5,3
"Customer HK",214,60,3190,5,5,3
"Customer FW",214,60,3217,4,5,3
"Customer GO",214,60,3306,5,5,3
"Customer GR",214,60,3335,5,5,3
"Customer T",824,21,3364,1,1,3
"Customer G",214,60,3501,4,5,3
"Customer GH",214,60,3570,5,5,3
"Customer FF",214,60,3668,4,4,3
"Customer HC",214,60,3722,5,5,3
"Customer F",214,60,3788,4,4,3
"Customer BG",702,44,3957,1,2,3
"Customer HA",214,60,4020,5,5,3
"Customer FS",214,60,4495,4,5,3
"Customer HE",214,60,4698,5,5,3
"Customer GX",214,60,4846,5,5,3
"Customer GQ",214,60,5291,5,5,3
"Customer FU",214,60,5408,4,5,3
"Customer GA",214,60,6751,4,5,3
"Customer FL",214,60,7212,4,4,4
"Customer FR",214,60,7525,4,5,4
"Customer GB",214,60,7552,5,5,4
"Customer FI",214,60,8620,4,4,4
"Customer FQ",214,60,9389,4,5,4
"Customer GW",214,60,10186,5,5,4
"Customer GT",214,60,11339,5,5,4
"Customer FY",214,60,12826,4,5,4
"Customer FH",214,60,16867,4,4,4
"Customer DX",214,60,17456,4,4,4
"Customer EB",214,60,17465,4,4,4
"Customer DP",214,60,20356,3,4,4
"Customer HH",214,60,22405,5,5,4
"Customer DB",214,60,22413,3,4,4
"Customer CH",214,60,22539,3,4,4
"Customer CL",214,60,23139,3,4,4
"Customer AC",214,60,23413,2,3,4
"Customer DH",214,60,24710,3,4,4
"Customer BH",214,60,24842,2,3,4
"Customer HI",214,60,24853,5,5,4
"Customer AG",214,60,25812,2,3,4
"Customer CR",214,60,26040,3,4,4
"Customer AF",214,60,26766,2,3,4
"Customer EV",214,60,27946,4,4,4
"Customer Y",214,60,28882,5,5,4
"Customer ET",214,60,29036,4,4,4
"Customer CT",214,60,29095,3,4,4
"Customer CF",214,60,29598,3,4,4
"Customer CV",214,60,30827,3,4,4
"Customer ED",214,60,30874,4,4,4
"Customer AB",214,60,30998,2,3,4
"Customer CZ",214,60,31598,3,4,4
"Customer CP",214,60,32035,3,4,4
"Customer EL",214,60,32097,4,4,4
"Customer DV",214,60,32222,4,4,4
"Customer AD",214,60,32358,2,3,4
"Customer AE",214,60,32533,2,3,4
"Customer Z",214,60,32609,5,5,4
"Customer DN",214,60,33357,3,4,4
"Customer DD",214,60,33697,3,4,4
"Customer EF",214,60,34169,4,4,4
"Customer CX",214,60,34721,3,4,4
"Customer AH",214,60,34763,2,3,4
"Customer AI",214,60,35606,2,3,4
"Customer CN",214,60,36419,3,4,5
"Customer DF",214,60,37953,3,4,5
"Customer ER",214,60,39629,4,4,5
"Customer BR",214,60,39884,3,3,5
"Customer DT",214,60,41055,4,4,5
"Customer CJ",214,60,42624,3,4,5
"Customer BU",214,60,43047,3,3,5
"Customer EN",214,60,43606,4,4,5
"Customer DJ",214,60,44484,3,4,5
"Customer BY",214,60,44600,3,3,5
"Customer BS",214,60,46621,3,3,5
"Customer BT",214,60,47021,3,3,5
"Customer BX",214,60,47490,3,3,5
"Customer DR",214,60,47739,3,4,5
"Customer BV",214,60,49480,3,3,5
"Customer DL",214,60,50545,3,4,5
"Customer EP",214,60,51183,4,4,5
"Customer EJ",214,60,55412,4,4,5
"Customer HG",214,60,56986,5,5,5
"Customer BW",214,60,57591,3,3,5
"Customer EH",214,60,61861,4,4,5
"Customer DZ",214,60,65836,4,4,5
"Customer BQ",214,60,66083,3,3,5
"Customer EX",214,60,68035,4,4,5
"Customer CA",214,60,69976,3,3,5
"Customer HJ",214,60,73911,5,5,5
"Customer AA",214,60,83410,2,3,5
"Customer CB",214,60,89566,3,3,5
"Customer BZ",214,60,94958,3,3,5
"Customer BI",214,60,109881,2,3,5
"Customer BJ",214,60,117106,2,3,5
"Customer BM",214,60,123004,3,3,5
"Customer R",214,60,123327,5,5,5
"Customer BL",214,60,124806,3,3,5
"Customer CE",214,60,132543,3,3,5
"Customer BN",214,60,139944,3,3,5
"Customer BK",214,60,155467,2,3,5
"Customer CD",214,60,177507,3,3,5
"Customer BP",214,60,187520,3,3,5
"Customer BO",214,60,245848,3,3,5
"Customer CC",214,60,264414,3,3,5
"Customer FD",214,60,566678,4,4,5
"Customer X",214,60,2625422,5,5,5
