symbol,security,gics_sector,marketcap,Consecutive_Revenue_Growth_Years,Consecutive_EPS_Growth_Years,Consecutive_Profitable_Years,Consecutive_Positive_FCF_Years,Consecutive_ROE_Above_15pct_Years,CPI,Core_CPI,Unemployment_Rate,NFP,Real_GDP,Consumer_Sentiment,Growth_Score,Inflation_Score,Labor_Heat_Score,Macro_Regime_Score,Investment_Signal,Market_Regime,latest_price,total_return_10y,cagr_10y,volatility,momentum_12m
MMM,3M,Industrials,90312692271.0,5,4,9,8,2,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,172.0500030517578,0.3141639654096129,0.027708219856217742,0.2625266722765564,0.2940955772923963
AOS,A. O. Smith,Industrials,8925144134.0,0,0,9,9,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,65.9800033569336,0.6544634300345036,0.05165841354828227,0.27034317636501154,-0.10717182686622573
ABT,Abbott Laboratories,Health Care,221167122939.0,6,5,9,8,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,128.89999389648438,1.8695458404002614,0.11122019559124752,0.23687089855160934,0.09274325955341389
ABBV,AbbVie,Health Care,405632446890.0,6,0,9,9,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,227.6999969482422,2.9157350124386023,0.14631951243739238,0.2621220463593725,0.2570387419425735
ACN,Accenture,Information Technology,160343801248.0,0,0,10,8,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,250.0,1.3316545155170867,0.08838243797271672,0.2569662467100839,-0.3116360894274799
ADBE,Adobe Inc.,Information Technology,133420378000.0,9,6,9,9,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,320.1300048828125,2.5002187632556145,0.13352700929613248,0.3379132851039327,-0.39057678979238397
AMD,Advanced Micro Devices,Information Technology,350110333177.0,6,4,8,7,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,217.52999877929688,91.17373239351959,0.5723217878774678,0.5927052796977348,0.5795091261340775
AES,AES Corporation,Utilities,9884238703.0,5,0,6,0,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,14.0600004196167,0.4074074816563271,0.03478013613362396,0.36008157657002554,0.11764709895758396
AFL,Aflac,Financials,57851694158.0,5,5,9,8,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,110.30999755859375,2.381667724420741,0.1296263970587226,0.2585349156174248,-0.032538144129986346
A,Agilent Technologies,Health Care,43545665587.0,5,5,9,8,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,153.5,2.670492614063736,0.13892633981294789,0.27470715122056416,0.14236812962692103
APD,Air Products,Materials,57112204036.0,6,0,9,0,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,261.04998779296875,1.0614730431189718,0.07505497644661507,0.2562531226802468,-0.22023421726258652
ABNB,Airbnb,Consumer Discretionary,70425047584.0,2,0,3,4,1,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,116.98999786376953,-0.19155557711297733,-0.04191220975998511,0.47265099009337747,-0.16238276367514504
AKAM,Akamai Technologies,Information Technology,12709055037.0,5,5,10,7,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,89.5199966430664,0.5538968181677322,0.04508131304969876,0.32455886616558743,-0.03845329634511019
ALB,Albemarle Corporation,Materials,13638790935.0,5,0,0,0,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,129.99000549316406,1.426997799854178,0.09275489023932026,0.47033459671148214,0.21724884707125636
ARE,Alexandria Real Estate Equities,Real Estate,8852099522.0,0,3,0,1,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,53.66999816894531,-0.4172005613723466,-0.05258058794555498,0.2768220589552837,-0.5197315600094379
ALGN,Align Technology,Health Care,10305451782.0,0,0,9,8,0,324.37,330.54,4.4,159626.0,23770.98,55.1,0.0,16.79,48.96,35.17,SELL - ระวังตัว,Bear Market,147.19000244140625,1.205424140735698,0.08233904227534872,0.4877288890367995,-0.3542315308596684
