TIME_T,Plasticity,ผังสี,Zoning
31/12/1899 00:04:36,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 01:08:55,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 01:31:45,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 00:55:46,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 00:59:08,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 07:40:18,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 01:53:48,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 02:33:58,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 04:04:11,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 05:25:27,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 05:46:40,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 06:12:51,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 06:38:20,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:57:43,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:07:28,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:37:32,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:40:25,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:43:40,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 09:43:09,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 09:45:14,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 09:10:21,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 09:17:39,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 09:30:33,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 09:35:18,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 10:32:02,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 10:36:39,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 10:25:35,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 11:15:20,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 11:23:33,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 10:53:13,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 10:58:13,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 11:08:19,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 11:10:05,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 12:02:08,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 11:55:25,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 13:07:41,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 12:49:11,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 13:47:45,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 13:49:44,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 13:52:15,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 13:57:39,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 13:35:23,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 14:03:47,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 14:07:27,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 14:24:13,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 14:25:53,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 14:28:35,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 15:33:01,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 16:40:28,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 16:11:03,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 16:22:33,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 16:29:48,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 20:38:41,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 19:44:13,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 23:11:32,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 23:14:56,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 17:51:25,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 23:49:07,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 22:12:08,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 22:18:08,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 22:34:54,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 18:17:09,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 22:40:53,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 18:30:27,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 22:55:12,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 18:47:25,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 16:57:10,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 17:00:30,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 19:04:21,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 19:10:41,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 19:12:09,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 20:13:44,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 20:18:46,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 20:26:35,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 20:27:49,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 19:30:25,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 19:34:18,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 07:58:39,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:34:05,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
31/12/1899 08:45:29,30-50,สีน้ำตาล : ที่อยู่อาศัยหนาแน่นมาก,A
